Code,Center Name,Bonding
1,GATE,6501006
7,BILAULI,76248
8,CHAKLAKHIPUR - III N,88137
9,TAPARPURWA,80829
11,AMETHI-I,87363
12,BASANTAPUR/DHAURAHRA,184959
13,SISAIYA -I,116487
14,BEHNANPURWA,88497
15,ISSANAGAR - I,178371
16,KATAULI,71370
17,SEMARIA- I,107379
18,KIRATIPURVA -IV,95814
19,HAUKANA MATERA,41688
20,LAUKAHI,134739
21,CHAKLAKHIPUR- I,176490
22,MARSANDA -I,117036
24,ADHAMALPUR,54819
28,SHAHPUR,84969
29,AMETHI -II/PAHADIYAP,71001
30,SISAIYA-II/SUJAIKUND,104292
31,KAIRATIPURVA - II,36873
33,NAINAPUR-III,89838
34,AKATHI,56817
35,KHAJUHA BAZAR-I,127746
39,BIRSINGHPUR,181611
40,BETI SAHDEO,80703
41,KAIRATIPURVA -I,88200
43,KESHWAPUR KALAN,52362
45,HARDI,49401
47,MILIK / KHAJUHABAZAR,43974
48,SIKATIHA CHAPKAHA,79488
50,MAHADEV /AMETHI - II,99549
52,RAIPURBELTUA/ISHANAG,107406
60,LAHBARI,75411
61,BHAUVAPUR KALAN,87327
62,LALJI PURVA,76689
63,MUKHLISPUR/SEMARIYA,90864
65,DEVIPURVA,162180
71,KIRATIPURVA - III,45450
73,BABURI,90414
75,AANVA (ARNI),21573
77,AMETHI IV,83934
78,AMETHI  V,70992
80,DHAURAHARA,108603
82,DHAURAHARA II,56376
83,KARHUHA,100962
85,BELWA PASURA,40905
86,JUNGLE MATERA,35226
87,PACHGHARA,106038
88,KALUWAPUR,103140
91,PRATAPI BEHAR,56547
92,MURI,30645
93,SHEKHPUR,64467
94,BHATPURVA -II,28881
101,MANGAUDHIYA-II,95688
102,MANGAUDHIYA-IV ARGOR,59715
103,GOORH -I,111969
104,GOORH - II,110547
105,SABAI GAURHI II,32787
106,BELTUA,93870
107,JALIMNAGAR,93348
108,RUDRAPUR,85905
110,MARSANDA -II,67077
111,DURGAPUR PADARI,66069
112,AANVA HARGAON,16083
113,MISHIRGAON,47637
114,DIUHA KALAN,42327
115,MANGAUDHIYA-I,51120
116,MANGAUDHIYA-III  RAJ,72207
117,SABAI GAURHI I,31437
118,RAM NAGAR BAGAHA,99414
119,KABIRAHA,97227
120,TIKOUNA,65583
121,KHAJUHABAZAR III,38727
122,CHAKDHA,13842
123,NAINAPUR II,125091
124,NAINAPUR I,147456
125,PADARI,77283
126,BELHAURA,53361
247,NARENDRA NAGAR BELI ,639
128,JHALA N II,71982
129,KATHOUTIYA II,20475
130,ISSANAGAR - III,82188
131,GANJ,19548
132,RATANGANJ I,65592
133,RATANGANJ II,38673
134,RATANGANJ III,42156
136,AIRA KATHOUTIYA II ,12915
137,JALLAPUR MAHSI,65313
138,DARAPUR,29367
139,SUJAI KUNDA,43137
140,AMRITPUR,119835
141,HARKHAPUR,67716
142,URRA BAZAR,88488
143,DHARAMPUR SEMRI,72936
144,KATHOUTIYA I,32688
171,MATHIYA PURWA,111852
178,CHAHMALPUR (LMP),166797
214,TELIYAR,86787
222,SUJANPUR,86706
231,BELWA PURWA,87768
238,MAJHRAPURAB,101421
241,BELAWA II,132750
249,BOKARIYA,77445
251,SEMRABAZAR,65394
253,DANDOORI,74493
453,NAKHA-III,159489
496,CHAHMALPUR (ARNI),11880
701,GHODSARIYA,56511
801,SAKETHU,137421
802,NAKAHA,126630
803,KATKUSMA,81504
804,SAHJANI ,114228
