Code,Center Name,Indent Date,No of Purchy,Qty in Qtls
1,GATE,14-11-2022,3,54
1,GATE,15-11-2022,805,23958
1,GATE,16-11-2022,882,37800
1,GATE,17-11-2022,822,38313
1,GATE,18-11-2022,833,38340
1,GATE,19-11-2022,831,44586
1,GATE,21-11-2022,22,711
1,GATE,22-11-2022,82,4437
1,GATE,23-11-2022,318,9846
1,GATE,24-11-2022,310,9792
1,GATE,25-11-2022,701,27369
1,GATE,26-11-2022,594,24264
1,GATE,27-11-2022,649,24822
1,GATE,28-11-2022,578,22437
1,GATE,29-11-2022,585,22095
1,GATE,30-11-2022,552,24426
1,GATE,01-12-2022,480,20349
1,GATE,02-12-2022,371,14724
1,GATE,03-12-2022,205,9351
1,GATE,04-12-2022,330,13509
1,GATE,05-12-2022,314,17748
1,GATE,06-12-2022,452,21546
1,GATE,07-12-2022,374,20889
1,GATE,08-12-2022,372,21717
1,GATE,09-12-2022,327,19692
1,GATE,10-12-2022,303,17028
1,GATE,11-12-2022,77,4077
1,GATE,12-12-2022,423,22437
1,GATE,13-12-2022,315,17190
1,GATE,14-12-2022,331,17901
1,GATE,15-12-2022,271,14751
1,GATE,16-12-2022,173,9594
1,GATE,17-12-2022,391,20574
1,GATE,18-12-2022,407,21051
1,GATE,19-12-2022,367,20862
1,GATE,20-12-2022,379,21231
1,GATE,21-12-2022,319,18324
1,GATE,22-12-2022,282,15057
1,GATE,23-12-2022,257,12294
1,GATE,24-12-2022,480,20376
1,GATE,25-12-2022,381,17361
1,GATE,26-12-2022,330,15849
1,GATE,27-12-2022,448,20394
1,GATE,28-12-2022,390,18999
1,GATE,29-12-2022,294,14643
1,GATE,30-12-2022,221,11520
1,GATE,31-12-2022,277,15471
1,GATE,01-01-2023,101,5229
1,GATE,02-01-2023,193,9495
1,GATE,03-01-2023,380,19314
1,GATE,04-01-2023,497,27585
1,GATE,05-01-2023,476,27270
1,GATE,06-01-2023,479,26631
1,GATE,07-01-2023,369,20124
1,GATE,08-01-2023,475,26649
1,GATE,09-01-2023,252,14139
1,GATE,10-01-2023,417,21789
1,GATE,11-01-2023,467,24156
1,GATE,12-01-2023,481,25335
1,GATE,13-01-2023,473,25326
1,GATE,14-01-2023,392,21024
1,GATE,15-01-2023,349,18486
1,GATE,16-01-2023,320,16659
1,GATE,17-01-2023,394,21861
1,GATE,18-01-2023,359,21087
1,GATE,19-01-2023,474,23112
1,GATE,20-01-2023,184,9423
1,GATE,21-01-2023,444,22779
1,GATE,22-01-2023,371,17262
1,GATE,23-01-2023,372,18612
