Code,Center Name,Purchase Date,Indent Date,No of Purchy,Qty in Qtls
1,GATE,15-11-2022,13-11-2022,5,337.48
1,GATE,15-11-2022,14-11-2022,4,214.53
1,GATE,15-11-2022,15-11-2022,272,14971.17
1,GATE,15-11-2022,16-11-2022,63,4310.73
1,GATE,16-11-2022,14-11-2022,1,25.64
1,GATE,16-11-2022,15-11-2022,40,1385.70
1,GATE,16-11-2022,16-11-2022,31,2209.35
1,GATE,17-11-2022,15-11-2022,7,298.49
1,GATE,18-11-2022,14-11-2022,1,23.76
1,GATE,18-11-2022,15-11-2022,218,9586.76
1,GATE,18-11-2022,16-11-2022,237,14335.33
1,GATE,18-11-2022,17-11-2022,159,10721.74
1,GATE,18-11-2022,18-11-2022,40,2446.28
1,GATE,18-11-2022,19-11-2022,3,180.19
1,GATE,19-11-2022,14-11-2022,1,72.67
1,GATE,19-11-2022,15-11-2022,156,6536.38
1,GATE,19-11-2022,16-11-2022,264,15540.23
1,GATE,19-11-2022,17-11-2022,211,13657.56
1,GATE,19-11-2022,18-11-2022,102,6976.81
1,GATE,19-11-2022,19-11-2022,56,4098.38
1,GATE,20-11-2022,15-11-2022,129,5375.22
1,GATE,20-11-2022,16-11-2022,196,10951.92
1,GATE,20-11-2022,17-11-2022,222,13653.22
1,GATE,20-11-2022,18-11-2022,147,9582.83
1,GATE,20-11-2022,19-11-2022,115,7991.31
1,GATE,21-11-2022,15-11-2022,102,4437.95
1,GATE,21-11-2022,16-11-2022,174,8812.53
1,GATE,21-11-2022,17-11-2022,180,10549.12
1,GATE,21-11-2022,18-11-2022,189,12331.54
1,GATE,21-11-2022,19-11-2022,159,10759.26
1,GATE,21-11-2022,21-11-2022,13,944.25
1,GATE,21-11-2022,22-11-2022,1,78.01
1,GATE,22-11-2022,15-11-2022,80,3007.21
1,GATE,22-11-2022,16-11-2022,151,7586.22
1,GATE,22-11-2022,17-11-2022,160,9233.99
1,GATE,22-11-2022,18-11-2022,177,11166.07
1,GATE,22-11-2022,19-11-2022,196,13243.85
1,GATE,22-11-2022,21-11-2022,11,792.18
1,GATE,22-11-2022,22-11-2022,16,1206.90
1,GATE,22-11-2022,23-11-2022,2,155.63
1,GATE,23-11-2022,15-11-2022,4,158.50
1,GATE,23-11-2022,16-11-2022,98,4785.67
1,GATE,23-11-2022,17-11-2022,121,6034.31
1,GATE,23-11-2022,18-11-2022,215,12587.04
